TEL_NO,BTH_GBN_NM,ASSEM_ADDR,HJ_NM,HG_NM,BTH_DATE,ELECT_GBN_NM,POLY_NM,REELE_GBN_NM,CMITS,MEM_TITLE,ENG_NM,SEX_GBN_NM,E_MAIL,MONA_CD,SECRETARY2,JOB_RES_NM,STAFF,HOMEPAGE,CMIT_NM,SECRETARY,ORIG_NM,UNITS
02-6788-6766,음,의원회관 1021호,吳永煥,오영환,1988-02-10,지역구,더불어민주당,초선,"국회운영위원회, 행정안전위원회","더불어민주당 국회의원
국회 행정안전위원회 위원
더불어민주당 재해대책특별위원회 위원장
서울시립대학교(소방방재학과)졸업
(전)중앙119구조본부 근무
(전)119특수구조단 산악구조대원",OH YEONGHWAN,남,119heartsaver@naver.com,MY318392,"박정은, 정선호, 임세민, 조재원, 방주영",위원,"이윤근, 최환",https://blog.naver.com/119heartsaver,"국회운영위원회, 행정안전위원회","노진석, 임주연",경기 의정부시갑,제21대
02-784-3063,음,의원회관 541호,龍慧仁,용혜인,1990-04-12,비례대표,기본소득당,초선,"민생경제안정특별위원회, 여성가족위원회, 행정안전위원회","2014~2014   세월호 희생자 추모 &lsquo;가만히 있으라&rsquo; 침묵행진 제안자
2017~2019   기본소득정치연대 대표
2017~         현) 온국민기본소득운동본부 운영위원
2018~         현) 경기도기본소득위원회 위원
2019~         현) 2020 대한민국 기본소득 박람회 조직위원회 대변인
2020~2020   기본소득당 상임대표
2020~         현) 제21대 국회의원
2020~         현) 기본소득당 원내대표
2022~         현) 기본소득당 상임대표",YONG HYEIN,여,hello@yonghyein.kr,GE71932C,"홍순영, 양지혜, 노서영, 금동운, 김진서",위원,"양다혜, 장흥배",https://yonghyein.kr,"민생경제안정특별위원회, 여성가족위원회, 행정안전위원회","김영길, 이혜정",비례대표,제21대
02-784-3071,음,의원회관 404호,禹相虎,우상호,1962-12-12,지역구,더불어민주당,4선,외교통일위원회,"[ 학력 ]
서울 용문고등학교 졸업
연세대학교 국어국문학과 졸업
연세대학교 행정대학원 졸업

[ 경력 ]
(현)
제20대 국회의원(서울 서대문갑)

중국 연태대학교 객좌교수
북한대학원대학교 초빙교수
(사)한국소아당뇨인협회 고문
(사)이한열기념사업회 이사

(전)
더불어민주당 원내대표
더불어민주당 제19대 대선 공동선대위원장
민주당 국정원개혁운동본부 국민홍보단장
민주통합당 제18대 대통령선거 중앙선거대책위원회 공보단장
민주통합당 최고위원
민주통합당 제19대 총선 전략홍보본부장
10.26 서울특별시장 재보궐선거 박원순 후보 대변인
4.27 강원도지사 재보궐선거 최문순 후보 대변인
연세대학교 총동문회 상임이사
민주정책연구원 이사
민주통합당 대변인
민주당 대변인
열린우리당 대변인
통합민주당 대변인
대통합민주신당 대변인
열린우리당 중앙위원
청년정보문화센터 소장
도서출판 두리 대표
전국대학생대표자협의회 동우회 회장
1987년 연세대학교 총학생회장
제17,19대 국회의원 

",WOO SANGHO,남,wsh2016v@gmail.com,V0O5343U,"김동균, 김준모, 나서라, 박진용, 조유하",위원,"이후민, 홍용표",http://www.woosangho.com,외교통일위원회,"송은경, 신채호",서울 서대문구갑,"제17대, 제19대, 제20대, 제21대"
02-784-3601~3,음,의원회관 501호,禹元植,우원식,1957-09-18,지역구,더불어민주당,4선,"예산결산특별위원회, 환경노동위원회","연세대학교 토목공학과 학사
연세대학교 공학대학원 환경공학 석사

더불어민주당 20대 국회 2기 원내대표
제17대, 제19대, 제20대, 제21대 국회의원(서울 노원구을)
국회 예산결산특별위원회 위원장(현)
국회 환경노동위원회 위원(현)
국회 기후위기그린뉴딜연구회 대표의원(현)
국회 생명안전포럼 대표의원(현)
여천 홍범도장군기념사업회 이사장 (현)
독립기념관 비상임 이사(현)

더불어민주당 민생연석회의 수석부의장(전)
더불어민주당 국가균형발전특별위원회 위원장(전)
국회 남북경제협력특별위원회 위원 (전)
더불어민주당 을지로위원회 초대위원장(전)
새정치민주연합 상임최고위원(전)
새정치민주연합 당권재민 혁신위원회 위원(전)
민주통합당 원내대변인(전)
민주통합당 원내수석부대표(전)
열린우리당 사무총장 직무대행(전)
민주당 대외협력위원회 위원장(전)
민주통합당 문재인 대선후보 선거대책위원회 총무본부장(전)
민주통합당 손학규 대선경선후보 선거대책위원회 부위원장(전)
박원순 서울시장 후보 선거대책본부 조직본부장(전)
더불어민주당 문재인 대선후보 선거대책위원회 을지로민생본부 공동본부장(전)
더불어민주당 기후변화대응 및 에너지전환산업육성특별위원회 위원장 (전)
더불어민주당 민생연석회의 민생정책교육홍보위원장(전)
더불어민주당 민생연석회의 편의점 최저수익보장 분과위원회 위원장 (전)
더불어민주당 당헌당규강령정책위원회 위원장(전)

가습기살균제 국정조사특별위원회 위원장(전)
국회 교육문화체육관광위원회 위원(전)
국회 세월호 침몰사고의 진상 규명을 위한 국정조사특별위원회 위원(전)
국회연구단체 서울균형발전 국회의원모임 대표(전)
노무현 정부 대통령직인수위 정무분과 자문위원(전)

환경관리공단 관리이사(전)
건국대학교 생명환경과학대학 겸임교수(전)

환경정의시민연대 운영위원(전)
환경을 사랑하는 중랑천사람들 운영위원장(전)
강남북균형발전 주민연대회의 의장(전)
대한장애인보치아연맹 회장(전)
사단법인 신명나는 한반도 자전거에 사랑을 싣고 이사장(전)
민주주의자 김근태 추모사업회 공동위원장(전)
한국스카우트 서울북부연맹 연맹장(전)

저서/ 섬진강-은어의 꿈(2005)
저서/ 금  강-강과 사람들(2006)
저서/ 어머니의 강(2011)
저서/ 그래도 정치는 희망이다(2013)",WOO WONSHIK,남,reform1-1@hanmail.net,XBT9550Q,"조현준, 정수영, 문봉애, 임선아, 소상엽",위원,"박기영, 이지환",https://blog.naver.com/reform111,"예산결산특별위원회, 환경노동위원회","김복식, 김유림",서울 노원구을,"제17대, 제19대, 제20대, 제21대"
02-784-6450,음,의원회관 717호,魏聖坤,위성곤,1968-01-20,지역구,더불어민주당,재선,"농림축산식품해양수산위원회, 여성가족위원회","더불어민주당 원내정책수석부대표
더불어민주당 제주특별자치도당위원장
더불어민주당 서귀포시지역위원회 지역위원장
제 20,21대 국회의원

국회 농림축산식품해양수산위원회 위원장 직무대리(前)
국회 농림축산식품해양수산위원회 간사(前)
더불어민주당 정책위원회 제5정책조정위원장(前)
더불어민주당 전국농어민위원장(前)
더불어민주당 원내부대표(前)
더불어민주당 정책위원회 부의장(前)
을지키는민생실천위원회 운영위원(前)
민주당 의원모임 더좋은 미래 대표(前)
제 8,9,10대 제주특별자치도의회 의원(前)",WI SEONGGON,남,wishjeju@hanmail.net,RQQ3807K,"이경태, 박성준, 강누리, 현경준, 신기하",위원,"고행관, 한희석",,"농림축산식품해양수산위원회, 여성가족위원회","김세호, 이준석",제주 서귀포시,"제20대, 제21대"
02-784-2051,음,의원회관 434호,兪京濬,유경준,1961-06-17,지역구,국민의힘,초선,"국회 2030 부산세계박람회 유치지원 특별위원회, 국토교통위원회","[학력]
  &middot; 부산 해동고등학교
  &middot; 서울대학교 경제학과 학사  
  &middot; 고려대학교 대학원 경제학 석사 
  &middot; 미국 코넬대학교 경제학 박사

[경력]
  &middot; (2022.05)               국민의힘 서울시장 총괄선거대책본부장
  &middot; (2020.03~2022.05) 국민의힘 서울시당 공천관리위원장
  &middot;                            국회 2030 부산세계박람회 유치지원 특별위원회 위원
  &middot; (2021.11~)             국민의힘 서울특별시당 서울정책연구원 원장
  &middot; (2021.06~)             국민의힘 가상자산특별위원회 위원
  &middot; (2021.03)               국민의힘 서울시장 선거대책위원회 총괄선대본부장
  &middot; (2021.02~)             국민의힘 부동산공시가격검증센터 센터장
  &middot; (2020.11~)             국민의힘 서울특별시당 수석부위원장
  &middot; (2020.07~)             제21대 국회 기획재정위원회 조세소위원회 위원      
  &middot; (2020.07~)             제21대 국회 기획재정위원회 위원
  &middot; (2020.09~)             제21대 국회의원(서울시 강남구병/국민의힘) 
  &middot; (2020.05~2020.09) 제21대 국회의원(서울시 강남구병/미래통합당) 
  &middot; (2020.05~2020.09) 미래통합당 서울시당 강남(병) 당협위원장

  &middot; (전) 제31대 한국노동경제학회 회장
  &middot; (전) 한국기술교육대학교 인력개발전문대학원장
  &middot; (전) 제15대 통계청장
  &middot; (전) 한국기술교육대학교 교수
  &middot; (전) 최저임금심의위원회 공익위원
  &middot; (전) KDI 국제정책대학원 교수
  &middot; (전) KDI 재정복지정책연구부장
  &middot; (전) KDI 인적자원정책연구부장
  &middot; (전) KDI 수석이코노미스트
  &middot; (전) 국민경제자문회의 위원
  &middot; (전) 중앙노동위원회 공익위원
  &middot; (전) KDI 재정&middot;사회정책연구부장
  &middot; (전) 고용노동부장관 자문관
  &middot; (전) KDI 선임연구위원 
  &middot; (전) KDI 재정성과평가실장
  &middot; (전) 미국 코넬대학교 초빙교수
  &middot; (전) KDI 공공투자관리센터 정책연구실장
  &middot; (전) KDI 연구위원
  &middot; (전) 한국노동연구원 부연구위원",YOO GYEONGJOON,남,y0890@assembly.go.kr,9L57027L,"정윤경, 강두현, 박해주, 윤선영, 김수향",위원,허남춘,https://blog.naver.com/gangnamforyou ,"국회 2030 부산세계박람회 유치지원 특별위원회, 국토교통위원회","이승민, 이영현",서울 강남구병,제21대
02-784-7901,음,의원회관 1001호,柳基洪,유기홍,1958-06-11,지역구,더불어민주당,3선,교육위원회,"17·19·21대 국회의원(서울 관악갑)
21대 국회 교육위원회 위원장
더불어민주당 교육특별위원회 위원장
노무현재단 기획위원
5·18 광주민주화운동 국가유공자
미래교육희망 이사장(前)
더불어민주당 중앙당선거관리위원회 위원장(前)
더불어민주당 조직강화특별위원회 위원(前)
새정치민주연합 수석대변인(前)
19대 국회 교육문화체육관광위원회 간사(前)
국민의 정부 청와대 정책기획실 국장(前)
민주화운동청년연합 의장(前)",YOO KIHONG,남,yookihong1001@gmail.com,8FC9697X,"송정아, 윤성준, 조민호, 박유림",위원장,"김재삼, 전성원",https://blog.naver.com/youngkor,교육위원회,"김현호, 이민희",서울 관악구갑,"제17대, 제19대, 제21대"
02-784-3543,양,의원회관 810호,柳東秀,유동수,1961-09-18,지역구,더불어민주당,재선,기획재정위원회,"1961년 전북 부안 출생 
전라고, 연세대 경영학과 졸업 

국회 정무위원회 위원(현)
더불어민주당 사회적경제위원회 부위원장(현)
더불어민주당 가상통화 T/F 위원(현)

국회 산업통상자원중소벤처기업위원회 위원(전)
국회 전반기 예산결산특별위원회 위원(전)
국회 미세먼지 대책 특별위원회 위원(전)
더불어민주당 원내대표단 정책부대표(전)
더불어민주당 원내대표단 예산부대표(전)

민선7기 인천시장 인수위 재정/예산 혁신위원회 위원장(전)
민선5기 인천시장 인수위 전문위원(전)
인천도시공사 상임감사(전)
인천시 공익사업선정위원(전)
세동회계법인 공인회계사(전)
인덕회계법인 인천지점 대표공인회계사(전)
북인천세무서 과세적부심 심사위원(전)
계양구 결산감사위원(전)
경인여대 감사(전)
계양복지지원협의회장(현)
계양구 방위협의회 부회장(현)",YOO DONGSOO,남,newds61@naver.com,GX38539O,"최해룡, 김휘종, 나규미, 최수정, 송지현",위원,"김기석, 최창열",http://blog.naver.com/newds61,기획재정위원회,"박종현, 손민호",인천 계양구갑,"제20대, 제21대"
02-784-4760,음,의원회관 736호,劉相凡,유상범,1966-06-04,지역구,국민의힘,초선,"법제사법위원회, 정보위원회, 형사사법체계개혁특별위원회","■ 학력
&middot; 경기고등학교
&middot; 서울대학교 법학 학사
&middot; 제31회 사법시험 합격
&middot; 제21기 사법연수원

■ 경력
(현) 국회후반기 정보위원회 위원(간사)
(현) 국회후반기 법제사법위원회 위원
(현) 국민의힘 강원도당위원장
(현) 국민의힘 인권위원회 위원장
(현) 국민의힘 법률자문위원회 위원장

(전) 서울중앙지방검찰청 3차장 검사
(전) 창원지방검찰청 검사장
(전) 국민의힘 원내부대표 
(전) 국회전반기 법제사법위원회 위원(간사)
(전) 국회전반기 예산결산특별위원회 위원
(전) 제20대 대통령직인수위원회 정무사법행정분과 위원
(전) 국민의힘 제20대 대통령선거 선거대책위원회 법률지원단장
(전) 국민의힘 이재명비리국민검증특별위원회 위원
(전) 국민의힘 공명선거추진단 위원",YOO SANGBUM,남,sbyoo64@naver.com,MU69217P,"박동일, 황세원, 이지성, 장주영, 정훈재",위원,"김원호, 최영수",https://blog.naver.com/sbyoo64,"법제사법위원회, 정보위원회, 형사사법체계개혁특별위원회","이세호, 최상경",강원 홍천군횡성군영월군평창군,제21대
02-784-7351,음,의원회관 947호,兪義東,유의동,1971-06-23,지역구,국민의힘,3선,정무위원회,"<주요학력> 
- 한국외국어대학교 졸업 
- 미국 캘리포니아대학교 센디에이고 대학원 졸업
  태평양지역국제관계 석사(수학기간 1999. 9. ~ 2001. 6) 

<주요경력>
- 제19&middot;20&middot;21대 국회의원(국민의힘, 경기평택시을)
- 국회 정무위원회 위원(현)
- 국민의힘 정책위의장(전)
- 국회 정무위원회 법안심사제2소위원회 위원장(전)
- 국회 정무위원회 간사(전)
- 국회 운영위원회 위원 및 간사(전)
- 국회 메르스특별대책위원회 위원(전)",YU EUIDONG,남,ptopen730@naver.com,MRK4871S,"정정화, 이민지, 김일권, 이우람",위원,"이윤재, 이은석",http://yueuidong.com,정무위원회,윤나영,경기 평택시을,"제19대, 제20대, 제21대"
02-6788-6821,양,의원회관 905호,兪訂炷,유정주,1975-12-13,비례대표,더불어민주당,초선,"문화체육관광위원회, 여성가족위원회","<학력>
- 동국대학교 영상대학원 영화영상 박사과정 수료
- 동국대학교 문화예술대학원 영화영상 석사

<경력>
- 더불어민주당 원내부대표
- 제21대 국회 전반기 문화체육관광위원회 위원
- 제21대 국회 전반기 여성가족위원회 위원
- 제21대 예산결산특별위원회 위원
- 제21대 국회의원(비례대표/더불어민주당)
- (전) 국가지식재산위원회 민간위원
- (전) 한국애니메이션산업협회 회장",YOO JUNGJU,여,junshine905@naver.com,0WL9321T,"류채화, 박수희, 강형창, 남현욱, 이시현",위원,"방문주, 정재우",,"문화체육관광위원회, 여성가족위원회","장아름, 주영헌",비례대표,제21대
02-784-1534,양,의원회관 727호,尹建永,윤건영,1969-09-26,지역구,더불어민주당,초선,"예산결산특별위원회, 정보위원회, 환경노동위원회",,YOUN KUNYOUNG,남,younky926@gmail.com,GP07421U,"전성건, 정지환, 김충일, 이은지, 안유빈",위원,"여정민, 최일곤",,"예산결산특별위원회, 정보위원회, 환경노동위원회","김병수, 안본아",서울 구로구을,제21대
02-784-4380,음,의원회관 644호,尹官石,윤관석,1960-08-17,지역구,더불어민주당,3선,산업통상자원중소벤처기업위원회,"* 보성고 졸업
* 한양대학교 신문학과 졸업
* 더불어민주당 정책위원회 수석부의장
* 더불어민주당 인천시당위원장
* 남동을 지역위원회 위원장
* 국회 국토교통위원회 더불어민주당 간사
* 국회 스카우트 의원 연맹 이사
* 인천시 문화복지 자문위원
* (전) 문재인 담쟁이 캠프(대통령 예비 후보) 대변인
* (전) 민선5기 인천시청 초대 대변인
* (전) 민주개혁을 위한 인천시민연대 초대 사무처장
* (전) 실업극복국민운동 인천본부 초대 사무처장",YOUN KWANSUK,남,winneryks@naver.com,JMY9959W,"이유정, 조용석, 성채린, 윤소현, 박수민",위원장,"김완원, 허남동",http://blog.naver.com/winneryks,산업통상자원중소벤처기업위원회,"박남문, 조성민",인천 남동구을,"제19대, 제20대, 제21대"
02-784-5281,양,의원회관 602호,尹斗鉉,윤두현,1961-05-12,지역구,국민의힘,초선,"과학기술정보방송통신위원회, 국회운영위원회, 대법관(오석준) 임명동의에 관한 인사청문특별위원회","1961년생. 
심인고, 경북대 인문대 영문과, 
대통령비서실 홍보수석
국민대 행정대학원 특임교수
한국케이블TV 방송협회장
YTN 보도국장",YOON DOOHYUN,남,gyeongsan.love@gmail.com,7JC3239L,"이상원, 전경진, 양혜나, 장진영, 이선미",위원,"신중호, 이희동",http://blog.naver.com/gyeongsanlove,"과학기술정보방송통신위원회, 국회운영위원회, 대법관(오석준) 임명동의에 관한 인사청문특별위원회","김연주, 이승직",경북 경산시,제21대
02-784-0790,음,의원회관 530호,尹美香,윤미향,1965-02-10,비례대표,무소속,초선,농림축산식품해양수산위원회,"- 남해출생
- 한신대학교 신학과
- 이화여자대학교 사회복지대학원 
- 한국기독교장로회 여신도회전국연합회 간사
- 한국여성재단 사무처장
- 한국정신대문제대책협의회 상임대표
- 전쟁과여성인권박물관 관장
- 일본군성노예제 문제해결을 위한 정의기억연대 이사장
- 3.1운동 및 대한민국임시정부수립 100주년 기념사업추진위원회 미래희망분과위원회 위원
- 21대 국회의원 (비례대표) / 국회 전반기 환경노동위원회 위원",YOUN MEEHYANG,여,mhyang530@naver.com,KNM3215T,"정위지, 노진실, 장정인, 이혜진, 정광석",위원,"손보경, 송봉준",https://blog.naver.com/mhyang530,농림축산식품해양수산위원회,"배꽃나라, 오경석",비례대표,제21대
02-784-4481,음,의원회관 529호,尹相現,윤상현,1962-12-01,지역구,국민의힘,4선,정무위원회,"서울대학교 경제학과
미국 조지타운대학원 외교학 석사 
미국 조지워싱턴대 국제정치학 박사

하버드대학교 및 미국 의회조사국 객원연구원
미국 존스홉킨스 국제관계대학원(SAIS) 동북아문제담당 초빙조교수
서울대학교 초빙교수
인하대학교 교육연구소 연구교수

재인천 충남도민회 고문
인천광역시 축구연합회 회장
인천광역시 배드민턴연합회 자문위원
남구 태권도연합회 고문
남구 야구연합회 고문
한국교통장애인협회 인천 시지부 자문위원
인천 개인택시운송사업조합 자문위원

제18, 19, 20, 21대 국회의원(현)
국회 문화체육관광위원회 위원(현)
새누리당 사무총장
새누리당 원내수석부대표
새누리당 대변인
새누리당 원내부대표
새누리당 국제위원장
새누리당 인천광역시당위원장
새누리당 외교역량강화특별위원회 부위원장
새누리당 6.4 지방선거 인천시당 공천심사 위원장
국회 정보위원회 간사
국회 운영위원회 간사
국회 외교통일위원회 위원장",YOON SANGHYUN,남,shyoon@na.go.kr,MSY7784L,"박상배, 김승자, 이상록, 김효은, 권혜원",위원,"이상택, 장호경",,정무위원회,"김재경, 안우철",인천 동구미추홀구을,"제18대, 제19대, 제20대, 제21대"
02)784 3870~2,양,의원회관 715호,尹永德,윤영덕,1969-09-07,지역구,더불어민주당,초선,"예산결산특별위원회, 정무위원회","[출 생] 
 - 전남 담양 출생(1969년)

[학 력]
 - 중국 북경대학 (법학박사-국제정치학 전공)
 - 조선대학교 대학원 (정치외교학 석사)
 - 조선대학교 (정치외교학 학사)

[약 력]
 - 더불어민주당 정책위부의장(현)
 - 문재인대통령 민정수석실 행정관

 - 조선대학교 정치외교학과 초빙객원교수
 - 전남대학교 5.18연구소&#039 연구교수

 - (사)지역공공정책플랫폼 &#039광주로(路)&#039 이사 겸 연구소장
 - 광주 YMCA 이사 겸 시민운동위원장
 - 참여자치21 지방자치위원장
 - 근로정신대 할머니와 함께하는 시민모임 운영위원
 - 조선대학교 총학생회장, 남총련 건준위 의장
",YOON YOUNGDEOK,남,yyd0415v@naver.com,KFS1358P,"심현덕, 박재현, 박경훈, 정진의, 감보선",위원,"이경훈, 조삼용",,"예산결산특별위원회, 정무위원회","이성용, 이소연",광주 동구남구갑,제21대
02-784-4861,음,의원회관 941호,尹永碩,윤영석,1964-10-07,지역구,국민의힘,3선,기획재정위원회,"성균관대 정치외교학과 졸업
미국 듀크대 정책학 석사(2002~2004)
제37회 행정고등고시 합격(1993년)
(前)서울시 마케팅담당관/지방 부이사관
아시아도시연맹 이사장
제19대 국회의원",YOON YOUNGSEOK,남,hangomy@assembly.go.kr,9VR65006,"이정훈, 방나래, 김혜란, 박성철",위원,"김정일, 장준명",,기획재정위원회,신동승,경남 양산시갑,"제19대, 제20대, 제21대"
02-784-2704,음,의원회관 726호,尹永燦,윤영찬,1964-08-05,지역구,더불어민주당,초선,과학기술정보방송통신위원회,"더불어민주당 K뉴딜위원회 디지털뉴딜 분과 간사
국회의원연구단체 디지털 혁신과 미래 포럼 대표의원
더불어민주당 중앙당후원회 전국청년위원회 후원회장

(전) 대통령비서실 국민소통수석비서관
(전) 문재인 대통령후보 선대위 SNS본부 공동 본부장
(전) 네이버 부사장
(전) 동아일보 정치부 차장
(전)더불어민주당 정보통신특별위원장",YOON YOUNGCHAN,남,yyc8361@naver.com,XWX1513T,"김지은, 전지연, 최재원, 류재순, 하우준",위원,"김선, 김진국",https://blog.naver.com/yyc8361,과학기술정보방송통신위원회,"박지현, 정희정",경기 성남시중원구,제21대
02-784-1460,음,의원회관 542호,尹才鉀,윤재갑,1955-02-10,지역구,더불어민주당,초선,"농림축산식품해양수산위원회, 예산결산특별위원회","○경력
·제21대 국회의원(현)
·제20대 대선 더불어민주당 선대위해양수산정책위원회 위원장(현)
·더불어민주당 지방소멸 대응 특별위원회 위원장(현)
·목포해양대학교 초빙교수(2012~2015)
·해군 군수사령관(2011)
·더불어민주당 해남완도진도지역위원장(현)
·더불어민주당 5.18민주화운동 40주년 특별위원회 부위원장(현)
·더불어민주당 문재인 대통령후보 안보특보(전)
·더불어민주당 안보특위 부위원장(전)
·더불어민주당 전남도당 농축수산유통 특별위원장(전)
·더불어민주당 정책위원회 부의장(전)
·대통령직속 국가균형발전위원회 국민소통특별위원(전)
·대통령소속 자치분권위원회 정책자문위원(전)
·해양수산특별위원회 부위원장(전)

○ 학력
·경남대학교 경영대학원 경영학석사 졸업(2003)
·해군사관학교 32기 졸업(78년 소위 임관)
·광주숭의실고 졸업(12회)
·해남화산중학교 졸업(71회)
·해남화산초등학교 졸업(42회)

○ 상훈
·대한민국 보국훈장 천수장
·대통령 표창
·국방부장관 표창 등 다수

○ 저서
·시련은 용기를 낳고, 바다는 희망을 키운다
·더불어 꾸는 꿈 윤재갑",YOON JAEKAB,남,yoonjg542@naver.com,SE233396,"노수균, 이우형, 윤여미, 선한민",위원,"경성석, 이경식",https://url.kr/iNsVb4,"농림축산식품해양수산위원회, 예산결산특별위원회","임현우, 홍형주",전남 해남군완도군진도군,제21대
02-784-4871,음,의원회관 710호,尹在玉,윤재옥,1961-09-10,지역구,국민의힘,3선,외교통일위원회,"학력
- 경찰대학 졸업(1기)
- 연세대학교 경찰행정학과 졸업(석사)
- 동국대학교 경찰행정학과(박사수료)

주요경력
- 한국일보 선정 2000년대를 빛낼 100인
- 경북지방경찰청장
- 경기지방경찰청장
- 새누리당 기획위원장
- 제18대 대통령선거 새누리당 종합상황실 정세분석단장
- 제21대 국회 전반기 정무위원회 위원장",YUN JAEOK,남,7882579@naver.com,ZRF3039U,"김태우, 이상일, 김도영, 정어윈, 정의찬",위원장,"노병근, 이고운",,외교통일위원회,이주원,대구 달서구을,"제19대, 제20대, 제21대"
02-784-7057,음,의원회관 828호,尹柱卿,윤주경,1959-05-03,비례대표,국민의힘,초선,정무위원회," - 제21대 국회의원(비례대표/국민의힘)
 - 前) 제10대 독립기념관 관장
 - 前) 대통령소속 국민대통합위원회 위원
 - 前) 매헌 윤봉길 기념사업회 이사
 - 前) 국민의힘 정강정책개정특별위원회 위원
 - 前) 국회 국방위원회 위원
 - 국회 정무위원회, 예산결산특별위원회 위원",YUN JUKEYNG,여,bela0524@naver.com,ZDP5704Q,"손선엽, 홍유정, 이일배, 권용태, 이유빈",위원,"박장혁, 임지홍",,정무위원회,"서우태, 선민수",비례대표,제21대
02-784-1860,음,의원회관 522호,尹準炳,윤준병,1961-03-03,지역구,더불어민주당,초선,농림축산식품해양수산위원회,"[경  력]

(現) 더불어민주당 정읍고창 지역위원장
(現) 제21대 국회 전반기 환경노동위원회 위원 
(前) 서울특별시 행정1부시장
(前) 서울시 도시교통본부장
제26회 행정고시 합격

[학  력]

서울시립대학교 대학원 법학 박사
서울대학교 대학원 행정학 석사
서울대학교 독어독문학과 졸업
",YOON JOONBYEONG,남,yjb870053@naver.com,JC14718Q,"유현철, 박수연, 신기철, 최연희",위원,"권보근, 이준",http://theminjb.com/,농림축산식품해양수산위원회,"박정호, 이찬",전북 정읍시고창군,제21대
02-784-2855,음,의원회관 826호,尹暢賢,윤창현,1960-07-28,비례대표,국민의힘,초선,"민생경제안정특별위원회, 정무위원회, 연금개혁특별위원회","충북 청주 출생
대전고등학교 졸업
서울대 경제학과 졸업
美 시카고대 경제학 박사 졸업

제21대 국회의원(비례대표)
제21대 국회 전반기 정무위원회 위원
국민의힘 부동산시장정상화특별위원회 위원
국민의힘 약자와의동행위원회 정책동행분과 위원
국민의힘 가상자산특별위원회 위원장
국민의힘 제1정책조정위원회 위원장
국민의힘 이재명비리검증특별위원회 위원
제20대 대통령선거 국민의힘 윤석열후보 중앙선거대책위원회 경제정책추진본부장
제20대 대통령선거 국민의힘 윤석열후보 중앙선거대책위원회 정책부본부장
제20대 대통령인수위원회 상임기획위원

前 서울시립대 경영학부 교수
前 자유한국당 혁신위원회 위원
前 공적자금관리위원회 민간위원장
前 대통령직속 규제개혁위원회 위원
前 제7대 한국금융연구원 원장
前 바른사회시민회의 사무총장",YUN CHANGHYUN,남,yunch5270@gmail.com,40E3739H,"김은주, 백성록, 이영아, 이웅희, 주호진",위원,"김재학, 심상협",,"민생경제안정특별위원회, 정무위원회, 연금개혁특별위원회","박소연, 이수영",비례대표,제21대
02-784-2371,음,의원회관 823호,尹漢洪,윤한홍,1962-11-01,지역구,국민의힘,재선,정무위원회,"-학력-
▶ 합포초, 마산중, 마산고등학교
▶ 서울대학교 졸업 
▶ 서울대학교 행정대학원 행정학 석사
▶ 서울시립대학교 행정학 박사
-약력-
▶ 제 20대 국회의원 (경남 창원시 마산회원구/새누리당)
▶ 제 32대 경상남도 행정부지사 (前) 
▶ 대통령실 행정자치비서관 (前) 
▶ 서울시 행정과장·기획담당관 (前)
▶ 제32회 행정고시 합격 ",YOON HANHONG,남,,8X15119P,"이원행, 송민규, 강선정, 정희성, 송민수",간사,"남기석, 박태훈",http://blog.naver.com/uhh609,정무위원회,"손우성, 이학종",경남 창원시마산회원구,"제20대, 제21대"
02-784-4961,음,의원회관 648호,尹昊重,윤호중,1963-03-27,지역구,더불어민주당,4선,외교통일위원회,"춘천고, 서울대 철학과 졸업
제17대, 19대, 20대, 21대 국회의원
국회 외교통일위원회 위원
한일의원연맹 간사장

더불어민주당 공동비상대책위원장
국회 운영위원회 위원장
더불어민주당 원내대표
더불어민주당 검찰개혁특별위원회 위원장
국회 법제사법위원회 위원장
더불어민주당 사무총장
국회 국토교통위원회 위원
국회 환경노동위원회 위원
국회 예산결산특별위원회 간사위원
국정기획자문위원회 기획분과위원장
더불어민주당 국민주권선거대책위원회 정책본부장
더불어민주당 정책위의장
국회 서민주거복지특별위원회 간사위원
국회 기획재정위원회 간사위원
국회 예산결산특별위원회 위원
더불어민주당 유능한경제정당위원회 기획위원장
더불어민주당 사회적경제위원회 수석부위원장
새정치민주연합 디지털소통본부장
민주통합당 사무총장
민주당 전략기획위원장
민주당 수석사무부총장
열린우리당 대변인
새천년민주당 부대변인
청와대 민정/정책기획 비서실 행정관
새정치국민회의 부대변인",YUN HOJUNG,남,hjyun9292@naver.com,M0A1658U,"이현창, 김회중, 남슬비아, 황진옥, 김지연",위원,"박준혁, 이강일",http://blog.naver.com/hjyun327,외교통일위원회,"안완섭, 이슬기",경기 구리시,"제17대, 제19대, 제20대, 제21대"
